subject_id,condition,channel,band,lowcut,highcut,plv,wpli,plv_pref_lag_s,plv_dom_freq,n_samples
2,VIZ,EEG-ch21,gamma1,30.0,50.0,0.0277046342957391,0.04248739842975274,-0.007145912714558691,40.0,78755
2,VIZ,EEG-ch22,gamma1,30.0,50.0,0.030369715359408862,0.046091370612173235,-0.007398709892253454,40.0,78755
2,VIZ,EEG-ch24,gamma1,30.0,50.0,0.024115502808474337,0.035644932995745324,-0.0076730448672085285,40.0,78755
2,VIZ,EEG-ch25,gamma1,30.0,50.0,0.025454823572527655,0.03862143305282607,-0.0073288951666779754,40.0,78755
2,VIZ,EEG-ch26,gamma1,30.0,50.0,0.02973137926189083,0.04636028695055494,-0.006846433928663576,40.0,78755
2,VIZ,EEG-ch27,gamma1,30.0,50.0,0.022174258639542067,0.03400770482032126,-0.007138184077539759,40.0,78755
2,VIZ,EEG-ch29,gamma1,30.0,50.0,0.030954387952312916,0.04868049738341838,-0.00633045091137523,40.0,78755
2,VIZ,EEG-ch30,gamma1,30.0,50.0,0.02885573275147816,0.04540964900109472,-0.006369109339732913,40.0,78755
2,VIZ,EEG-ch31,gamma1,30.0,50.0,0.02963903658674759,0.046458312665572155,-0.0059853901639323566,40.0,78755
2,VIZ,EEG-ch32,gamma1,30.0,50.0,0.022484385813129996,0.035345804120806325,-0.006488236164654968,40.0,78755
2,AUD,EEG-ch1,delta,0.5,4.0,0.006348916312237082,0.008862264403069111,-0.14608447863561166,2.25,81334
2,AUD,EEG-ch2,delta,0.5,4.0,0.016341871383874565,0.02461482280098317,-0.13580848173321705,2.25,81334
2,AUD,EEG-ch3,delta,0.5,4.0,0.023447016476075288,0.03410885785664634,-0.1392046852114624,2.25,81334
2,AUD,EEG-ch4,delta,0.5,4.0,0.0047285555686628535,0.00658506207213949,-0.14682397224011848,2.25,81334
2,AUD,EEG-ch5,delta,0.5,4.0,0.01695479372933569,0.0258389020000351,-0.09383667400711738,2.25,81334
2,AUD,EEG-ch6,delta,0.5,4.0,0.0161767917972832,0.010034465929839354,0.02857962555975794,2.25,81334
2,AUD,EEG-ch7,delta,0.5,4.0,0.011967159399139775,0.012134890516048593,0.17229668457886024,2.25,81334
2,AUD,EEG-ch8,delta,0.5,4.0,0.028535836408790333,0.01716193746331924,0.19418332275618957,2.25,81334
2,AUD,EEG-ch9,delta,0.5,4.0,0.023695944270519798,0.0365409170845727,-0.11557514399591776,2.25,81334
2,AUD,EEG-ch10,delta,0.5,4.0,0.025662287026725194,0.03255791665975274,-0.154494524957352,2.25,81334
2,AUD,EEG-ch11,delta,0.5,4.0,0.02098235466114675,0.032937223782151755,0.11274198781407883,2.25,81334
2,AUD,EEG-ch12,delta,0.5,4.0,0.031411716569609005,0.04074727339184566,0.15420559743017168,2.25,81334
2,AUD,EEG-ch13,delta,0.5,4.0,0.007972840657998184,0.012040675252854093,0.1278234738877552,2.25,81334
2,AUD,EEG-ch14,delta,0.5,4.0,0.02348869997029652,0.032269652340042525,-0.07711656750681795,2.25,81334
2,AUD,EEG-ch15,delta,0.5,4.0,0.030727791386940595,0.043231115029782365,0.07975282212594315,2.25,81334
2,AUD,EEG-ch16,delta,0.5,4.0,0.0027584045741178937,0.004216950352745523,0.12752398019019254,2.25,81334
