channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch6,low_beta,mixed-lm,-0.0007342557018441438,0.5561354393409157,10,5,mixed,0.575423934809112
EEG-ch7,low_beta,mixed-lm,0.001184996887991645,0.2717419844886757,10,5,mixed,0.575423934809112
EEG-ch8,low_beta,mixed-lm,0.0011124318208898417,0.2678721243823261,10,5,mixed,0.575423934809112
EEG-ch9,low_beta,mixed-lm,0.0007738143726569643,0.3236759633301255,10,5,mixed,0.575423934809112
EEG-ch1,theta,mixed-lm,0.0037302247371151114,0.0941243614777079,10,5,mixed,0.00023559991405712913
EEG-ch10,theta,mixed-lm,0.0027580764627401725,0.15257521057027335,10,5,mixed,0.00023559991405712913
EEG-ch11,theta,mixed-lm,0.0020423519964702782,0.06348729749184268,10,5,mixed,0.00023559991405712913
EEG-ch12,theta,mixed-lm,-0.0022622272009807432,0.06701449395021947,10,5,mixed,0.00023559991405712913
EEG-ch13,theta,mixed-lm,0.0032797435849841023,0.3000654576870263,8,4,mixed,0.00023559991405712913
EEG-ch14,theta,mixed-lm,0.00335529908957785,0.002651177370863735,10,5,mixed,0.00023559991405712913
EEG-ch15,theta,mixed-lm,0.0033262613939606224,0.19226632122253207,10,5,mixed,0.00023559991405712913
EEG-ch16,theta,mixed-lm,-0.002850325705314665,0.055331795331002645,10,5,mixed,0.00023559991405712913
EEG-ch17,theta,mixed-lm,0.0032453383328722224,0.18126119197964885,8,4,mixed,0.00023559991405712913
EEG-ch18,theta,mixed-lm,0.0044792291144446555,0.07941982277795254,8,4,mixed,0.00023559991405712913
EEG-ch19,theta,mixed-lm,0.003909597453103189,0.015814223498020072,8,4,mixed,0.00023559991405712913
EEG-ch2,theta,mixed-lm,0.005439367533099056,0.0001572421737235025,10,5,mixed,0.00023559991405712913
EEG-ch20,theta,mixed-lm,-0.0006872385369393803,0.7887477291564999,10,5,mixed,0.00023559991405712913
EEG-ch21,theta,mixed-lm,0.0007444875570898179,0.7658706677632681,10,5,mixed,0.00023559991405712913
EEG-ch22,theta,mixed-lm,-0.0015827827603883623,0.4254548281364058,10,5,mixed,0.00023559991405712913
EEG-ch23,theta,mixed-lm,0.00252712434014497,0.03932030095825314,8,4,mixed,0.00023559991405712913
EEG-ch24,theta,mixed-lm,0.0022107431194897994,0.14062089080926157,10,5,mixed,0.00023559991405712913
EEG-ch25,theta,mixed-lm,-0.00046552476624007257,0.8336026811425009,10,5,mixed,0.00023559991405712913
EEG-ch26,theta,mixed-lm,-0.001193092492543096,0.5949440850690839,10,5,mixed,0.00023559991405712913
EEG-ch27,theta,mixed-lm,0.0011228756420129044,0.5568494388728406,10,5,mixed,0.00023559991405712913
EEG-ch28,theta,mixed-lm,0.0007088705648250911,0.8001435137978765,8,4,mixed,0.00023559991405712913
EEG-ch29,theta,mixed-lm,-0.0014502921514158158,0.603946999731923,10,5,mixed,0.00023559991405712913
EEG-ch3,theta,mixed-lm,0.0055163287404742575,0.02406221198960794,10,5,mixed,0.00023559991405712913
EEG-ch30,theta,mixed-lm,8.351562703882405e-05,0.9478422282846001,10,5,mixed,0.00023559991405712913
EEG-ch31,theta,mixed-lm,-0.0032877068875101037,0.1663215306295618,10,5,mixed,0.00023559991405712913
EEG-ch32,theta,mixed-lm,-0.0019457604218116112,0.19779079871972083,10,5,mixed,0.00023559991405712913
EEG-ch4,theta,mixed-lm,0.0039004625631414193,0.0018625990424236862,10,5,mixed,0.00023559991405712913
EEG-ch5,theta,mixed-lm,0.0047725337303824574,7.362497314285285e-06,10,5,mixed,0.00023559991405712913
EEG-ch6,theta,mixed-lm,0.0040408330241684266,0.03334607835460191,10,5,mixed,0.15243921533532304
EEG-ch7,theta,mixed-lm,-6.882300802291252e-05,0.9476776909634669,10,5,mixed,0.31832832660725485
EEG-ch8,theta,mixed-lm,0.00024306353059993374,0.9384730228679748,10,5,mixed,0.31832832660725485
EEG-ch9,theta,mixed-lm,0.0022235688063321976,0.19895520412953427,10,5,mixed,0.31832832660725485
