subject_id,condition,channel,band,lowcut,highcut,correlation_direct,pvalue_direct,correlation_max_lagged,optimal_lag_ms,optimal_lag_samples
3,RS1,EEG-ch3,delta,0.5,4,0.0318118176023003,1.051172188563775e-16,0.046653100501643605,-132.8125,-34
3,RS1,EEG-ch4,delta,0.5,4,0.006276775974135329,0.10162091108323733,0.0382545939292907,-175.78125,-45
3,RS1,EEG-ch5,delta,0.5,4,0.06340641796695601,1.5100827969378896e-61,0.07803593128338353,-82.03125,-21
3,RS1,EEG-ch6,delta,0.5,4,0.0382006275440859,2.133151626041333e-23,0.047377716259818625,-125.0,-32
3,RS1,EEG-ch7,delta,0.5,4,0.020141763831632423,1.49110914672321e-07,0.039704149028409776,-164.0625,-42
3,RS1,EEG-ch8,delta,0.5,4,0.02367830821879994,6.560302489106793e-10,-0.03576461887402058,238.28125,61
3,RS1,EEG-ch9,delta,0.5,4,0.03279935578718558,1.162281401186589e-17,0.05071031828660917,-128.90625,-33
3,RS1,EEG-ch10,delta,0.5,4,0.018764220412128895,9.866708222289325e-07,-0.046752257720677155,261.71875,67
3,RS1,EEG-ch11,delta,0.5,4,0.02464543500260276,1.287098321997731e-10,0.04428544614983723,-160.15625,-41
3,RS1,EEG-ch12,delta,0.5,4,0.0028963900038059777,0.450008094800859,-0.038357928313333435,226.5625,58
3,RS1,EEG-ch13,delta,0.5,4,0.030702413552014446,1.1535882084411134e-15,-0.05001408863489615,257.8125,66
3,RS1,EEG-ch14,delta,0.5,4,0.02001655967407838,1.7796923352835048e-07,0.04488848724342907,-261.71875,-67
3,RS1,EEG-ch15,delta,0.5,4,0.022702532771658478,3.185303305420884e-09,0.05222931927776796,-199.21875,-51
3,RS1,EEG-ch16,delta,0.5,4,0.04874065804172063,4.6089470300623275e-37,0.04875108838887981,3.90625,1
3,RS1,EEG-ch17,delta,0.5,4,0.013552227287510321,0.00040826389412306006,-0.04294281128474144,246.09375,63
3,RS1,EEG-ch18,delta,0.5,4,0.018072351925181473,2.431535842041675e-06,-0.050143850128700845,257.8125,66
3,RS1,EEG-ch19,delta,0.5,4,-0.010148619047111826,0.00812326247400199,-0.0547758941985113,218.75,56
3,RS1,EEG-ch20,delta,0.5,4,-0.004427962555182664,0.24815142229542642,0.060982942848424815,-253.90625,-65
3,RS1,EEG-ch21,delta,0.5,4,0.012358673429885197,0.0012669772947466026,-0.059311388485774,238.28125,61
3,RS1,EEG-ch22,delta,0.5,4,0.013746668620399572,0.0003365589872824475,-0.05667043059257855,250.0,64
3,RS1,EEG-ch23,delta,0.5,4,0.015055314789861454,8.609780147677828e-05,-0.05123723767432225,269.53125,69
3,RS1,EEG-ch24,delta,0.5,4,0.012820063318851686,0.000826676574814635,-0.04231983381653171,500.0,128
3,RS1,EEG-ch25,delta,0.5,4,-0.02144026406147606,2.2392336627108357e-08,0.04664095017383968,-386.71875,-99
3,RS1,EEG-ch26,delta,0.5,4,0.002915553489200718,0.44701579720784784,-0.041346704781445254,222.65625,57
3,RS1,EEG-ch27,delta,0.5,4,0.003572867383343131,0.35142271989139073,-0.051559827818916375,253.90625,65
3,RS1,EEG-ch28,delta,0.5,4,0.00720116098340391,0.060361957649581965,0.05015596930562024,-230.46875,-59
3,RS1,EEG-ch29,delta,0.5,4,0.01510270261183745,8.178059839100461e-05,-0.04251463572275882,218.75,56
3,RS1,EEG-ch30,delta,0.5,4,0.012512677047637952,0.001100348868422284,-0.0172533450721018,500.0,128
3,RS1,EEG-ch31,delta,0.5,4,0.00013360053899053075,0.9722041274984553,0.07267803234707138,-382.8125,-98
3,RS1,EEG-ch32,delta,0.5,4,0.004078328251760176,0.28748156762215077,0.03841878312108309,-203.125,-52
3,RS1,EEG-ch1,theta,4.0,8,0.008421216459803885,0.028066578810708183,-0.069782583109378,289.0625,74
3,RS1,EEG-ch2,theta,4.0,8,-0.0026221090441395367,0.4940593949359782,-0.06755356268558592,289.0625,74
3,RS1,EEG-ch3,theta,4.0,8,-0.006299626388023553,0.10038179913462858,-0.0656159661670573,289.0625,74
3,RS1,EEG-ch4,theta,4.0,8,0.0170161108999089,9.069368809095308e-06,-0.07302272346884285,289.0625,74
3,RS1,EEG-ch5,theta,4.0,8,0.0010477829151051433,0.7846459719161328,-0.07508523952261102,289.0625,74
3,RS1,EEG-ch6,theta,4.0,8,0.029512254350391454,1.3746703556020438e-14,-0.08733441394574523,292.96875,75
3,RS1,EEG-ch7,theta,4.0,8,0.02398609821428427,3.933297849448532e-10,-0.07197158173678359,289.0625,74
3,RS1,EEG-ch8,theta,4.0,8,0.003678554312265434,0.3373585681516151,-0.07870585767629967,292.96875,75
3,RS1,EEG-ch9,theta,4.0,8,-0.017679931376467627,3.999327059933702e-06,-0.0773595846010831,292.96875,75
