channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch17,low_beta,mixed-lm,0.005106165815786104,0.6362196120655966,9,5,mixed,0.9420193994096063
EEG-ch18,low_beta,mixed-lm,0.0116079664021135,0.2788125448316644,8,4,mixed,0.9420193994096063
EEG-ch19,low_beta,mixed-lm,-0.0056350803072666815,0.6284535056153588,8,4,mixed,0.9420193994096063
EEG-ch2,low_beta,mixed-lm,0.0006739085784339988,0.9336883237447196,10,5,mixed,0.9420193994096063
EEG-ch20,low_beta,mixed-lm,0.006260776568264684,0.4368804555429957,10,5,mixed,0.9420193994096063
EEG-ch21,low_beta,mixed-lm,-0.0031062586100429604,0.772343653660207,10,5,mixed,0.9420193994096063
EEG-ch22,low_beta,mixed-lm,-0.0061508839469930614,0.5587444676300395,10,5,mixed,0.9420193994096063
EEG-ch23,low_beta,mixed-lm,0.016589686591210913,0.0931934853354747,8,4,mixed,0.9420193994096063
EEG-ch24,low_beta,mixed-lm,-0.0053998959441625095,0.6847511794962234,10,5,mixed,0.9420193994096063
EEG-ch25,low_beta,mixed-lm,-0.005264277308633228,0.5836878173779767,10,5,mixed,0.9420193994096063
EEG-ch26,low_beta,mixed-lm,-0.0002887083374523879,0.978015451529936,10,5,mixed,0.9420193994096063
EEG-ch27,low_beta,mixed-lm,0.012160413737404606,0.19228625889659468,10,5,mixed,0.9420193994096063
EEG-ch28,low_beta,mixed-lm,0.015895442996034917,0.2754668098254771,8,4,mixed,0.9420193994096063
EEG-ch29,low_beta,mixed-lm,0.02337917037609171,0.06658440574398038,10,5,mixed,0.9420193994096063
EEG-ch3,low_beta,mixed-lm,0.004099349479733591,0.6877870009205311,10,5,mixed,0.9420193994096063
EEG-ch30,low_beta,mixed-lm,0.0017513414929471772,0.8885876698436592,10,5,mixed,0.9420193994096063
EEG-ch31,low_beta,mixed-lm,0.006868844248718628,0.6437485029936897,10,5,mixed,0.9420193994096063
EEG-ch32,low_beta,mixed-lm,0.0032711847109822756,0.7391053772940015,10,5,mixed,0.9420193994096063
EEG-ch4,low_beta,mixed-lm,-0.004014334061217063,0.6041846157760251,10,5,mixed,0.9420193994096063
EEG-ch5,low_beta,mixed-lm,-0.007923288999277505,0.4250696726827278,10,5,mixed,0.9420193994096063
EEG-ch6,low_beta,mixed-lm,-0.004199101933600638,0.7065145495572047,10,5,mixed,0.9420193994096063
EEG-ch7,low_beta,mixed-lm,-0.002549361777796972,0.6975787233236972,10,5,mixed,0.9705443107112309
